カード名,項目名,対応するトピック/サービス名,トピック/サービス定義ファイル,パラメータ名,備考
Route/Follower,経路状態,/route_state,tc_route_msgs/msg/RouteState.msg,status,状態の鮮度とともに表示
Route/Follower,再計画状態,/manager_status,tc_route_msgs/msg/ManagerStatus.msg,state,manager内部状態を表示
Route/Follower,追従状態,/follower_state,tc_route_msgs/msg/FollowerState.msg,state,開始待ち・走行・停止待ち等を表示
Route/Follower,目標,/follower_state,tc_route_msgs/msg/FollowerState.msg,active_waypoint_index / active_waypoint_label,経路のindex・labelを表示
Drive/CmdVel,走行モード,/drive_mode_status,tc_route_msgs/msg/DriveModeStatus.msg,mode,入力鮮度・手動介入・指令を表示
Drive/CmdVel,速度指令,/cmd_vel,geometry_msgs/msg/Twist.msg,linear.x / angular.z,最終指令。車輪実速度とは区別
Drive/CmdVel,車輪速度,/ypspur_ros/odom,nav_msgs/msg/Odometry.msg,twist.twist,実測または模擬車輪速度
GPS/Pose,自己位置,/localization/pose_llh,tc_geo_msgs/msg/GeoPoseWithQuality.msg,pose / fix_quality / fusion_status,LLHと品質の表示
GNSS・基地局,GNSS品質,rtk_gps/rtk_status,rtk_gps_um982_msgs/msg/RtkStatus.msg,rtk_state / num_satellites / hdop,相対名。起動側で実機private名または模擬公開名へremap
GNSS・基地局,補正通信,rtk_gps/ntrip_status,std_msgs/msg/String.msg,data,診断JSON。模擬GNSSはDISABLEDを配信
GNSS・基地局,融合状態,/fusion/status,tc_geo_msgs/msg/FusionState.msg,mode / yaw_rad / heading_sigma_deg / baseline_reference_m / has_estimate,型付きの融合状態
Node Health,健全性,/diagnostics,diagnostic_msgs/msg/DiagnosticArray.msg,status,health_topicsの受信鮮度とノード別診断から合成
Manual Ops,開始・再開,/manual_start,std_msgs/msg/Bool.msg,data,falseは走行停止指令ではない
Manual Ops,信号判定入力,/sig_recog,std_msgs/msg/Int32.msg,data,手動入力は実トピックへ配信
Manual Ops,封鎖判定入力,/road_blocked,std_msgs/msg/Bool.msg,data,手動入力は実トピックへ配信
Manual Ops,固定障害物ヒント,/obstacle_avoidance_hint,tc_route_msgs/msg/ObstacleAvoidanceHint.msg,front_blocked / front_clearance_m / left_offset_m / right_offset_m,解除して通常の監視入力へ戻す
地図,経路,/active_route,tc_route_msgs/msg/Route.msg,waypoints / projection,MapViewでLLH経路を表示
地図,表示用目標,/route/active_target_llh,tc_route_msgs/msg/ActiveTargetLlh.msg,target_pose,制御目標はENUのactive_target
画像パネル,Sensor Viewer,/sensor_viewer,sensor_msgs/msg/Image.msg,data,カメラの下に表示
画像パネル,Front Camera,/usb_cam/image_raw,sensor_msgs/msg/Image.msg,data,ConsoleCoreで認識枠を重畳してQtとHTMLへ共通配信
カメラ・判定チップ,信号,/perception/traffic_signal/overlay,tc_perception_msgs/msg/PerceptionOverlay.msg,detections / decision / decision_text / status_note,枠はカメラ上・判定は画像直下に表示
カメラ・判定チップ,道路封鎖,/perception/road_blockage/overlay,tc_perception_msgs/msg/PerceptionOverlay.msg,detections / decision / decision_text / status_note,未受信でも判定枠を残す
